name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,log_mass,fall_binary,reclong_norm,country,continent,dist_equator_km,cluster
Aachen,1,Valid,L5,21.0,Fell,1880.0,50.775,6.08333,"(50.775, 6.08333)",3.091042453358316,1,6.0833299999999895,Belgium,Europe,5652.272999999999,1
Aarhus,2,Valid,H6,720.0,Fell,1951.0,56.18333,10.23333,"(56.18333, 10.23333)",6.580639137284949,1,10.233329999999995,Denmark,Europe,6254.328295599999,8
Abee,6,Valid,EH4,107000.0,Fell,1952.0,54.21667,-113.0,"(54.21667, -113.0)",11.580593459194764,1,-113.0,Canada,North America,6035.3997044,0
Acapulco,10,Valid,Acapulcoite,1914.0,Fell,1976.0,16.88333,-99.9,"(16.88333, -99.9)",7.557472901614746,1,-99.9,Mexico,North America,1879.4522956,3
Achiras,370,Valid,L6,780.0,Fell,1902.0,-33.16667,-64.95,"(-33.16667, -64.95)",6.660575149839686,1,-64.95,Argentina,South America,3692.1137044,7
Adhi Kot,379,Valid,EH4,4239.0,Fell,1919.0,32.1,71.8,"(32.1, 71.8)",8.352318548226004,1,71.80000000000001,Pakistan,Asia,3573.372,5
Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,Fell,1949.0,44.83333,95.16667,"(44.83333, 95.16667)",6.814542897259958,1,95.16667,Mongolia,Asia,4990.846295599999,5
Agen,392,Valid,H5,30000.0,Fell,1814.0,44.21667,0.61667,"(44.21667, 0.61667)",10.308985993422082,1,0.6166699999999992,France,Europe,4922.1997044,2
Aguada,398,Valid,L6,1620.0,Fell,1930.0,-31.6,-65.23333,"(-31.6, -65.23333)",7.390798521735676,1,-65.23333,Argentina,South America,3517.712,7
Aguila Blanca,417,Valid,L,1440.0,Fell,1920.0,-30.86667,-64.55,"(-30.86667, -64.55)",7.273092595999522,1,-64.55,Argentina,South America,3436.0777044,7
Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,Fell,1974.0,16.39806,-9.57028,"(16.39806, -9.57028)",6.90875477931522,1,-9.570279999999997,Mauritania,Africa,1825.4320392,8
Aïr,424,Valid,L6,24000.0,Fell,1925.0,19.08333,8.38333,"(19.08333, 8.38333)",10.085850775128716,1,8.38333,Niger,Africa,2124.3562956,4
Akaba,426,Valid,L6,779.0,Fell,1949.0,29.51667,35.05,"(29.51667, 35.05)",6.659293919683638,1,35.05000000000001,Jordan,Asia,3285.7957044,8
Akbarpur,427,Valid,H4,1800.0,Fell,1838.0,29.71667,77.95,"(29.71667, 77.95)",7.496097345175956,1,77.94999999999999,India,Asia,3308.0597044,2
Akwanga,432,Valid,H,3000.0,Fell,1959.0,8.91667,8.43333,"(8.91667, 8.43333)",8.006700845440367,1,8.433330000000012,Nigeria,Africa,992.6037044,7
Akyumak,433,Valid,"Iron, IVA",50000.0,Fell,1981.0,39.91667,42.81667,"(39.91667, 42.81667)",10.819798284210286,1,42.81666999999999,Turkey,Asia,4443.5237044000005,4
Al Rais,446,Valid,CR2-an,160.0,Fell,1957.0,24.41667,39.51667,"(24.41667, 39.51667)",5.081404364984463,1,39.516670000000005,Saudi Arabia,Asia,2718.0637044,1
Al Zarnkh,447,Valid,LL5,700.0,Fell,2001.0,13.66033,28.96,"(13.66033, 28.96)",6.55250788703459,1,28.960000000000008,Sudan,Africa,1520.6679356,5
Alais,448,Valid,CI1,6000.0,Fell,1806.0,44.11667,4.08333,"(44.11667, 4.08333)",8.699681400989514,1,4.0833299999999895,France,Europe,4911.0677044,2
Albareto,453,Valid,L/LL4,2000.0,Fell,1766.0,44.65,11.01667,"(44.65, 11.01667)",7.601402334583733,1,11.016670000000005,Italy,Europe,4970.437999999999,2
Alberta,454,Valid,L,625.0,Fell,1949.0,2.0,22.66667,"(2.0, 22.66667)",6.439350371100098,1,22.66667000000001,Democratic Republic of the Congo,Africa,222.64,7
Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,Fell,2002.0,45.82133,6.01533,"(45.82133, 6.01533)",5.53338948872752,1,6.015330000000006,France,Europe,5100.8304556,8
Aldsworth,461,Valid,LL5,700.0,Fell,1835.0,51.78333,-1.78333,"(51.78333, -1.78333)",6.55250788703459,1,-1.7833300000000063,United Kingdom,Europe,5764.520295599999,2
Aleppo,462,Valid,L6,3200.0,Fell,1873.0,36.23333,37.13333,"(36.23333, 37.13333)",8.071218539969863,1,37.13333,Syria,Asia,4033.4942956,2
Alessandria,463,Valid,H5,908.0,Fell,1860.0,44.88333,8.75,"(44.88333, 8.75)",6.812345094177479,1,8.75,Italy,Europe,4996.4122956,2
Alexandrovsky,465,Valid,H4,9251.0,Fell,1900.0,50.95,31.81667,"(50.95, 31.81667)",9.13259502335133,1,31.816669999999988,Ukraine,Europe,5671.754,2
Alfianello,466,Valid,L6,228000.0,Fell,1883.0,45.26667,10.15,"(45.26667, 10.15)",12.337105293891872,1,10.150000000000006,Italy,Europe,5039.0857044,4
Allegan,2276,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.53333, -85.88333)",10.373522431293592,1,-85.88333,United States of America,North America,4734.810295599999,0
Allende,2278,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.96667, -105.31667)",14.508658238524095,1,-105.31667,Mexico,North America,3001.9297044,0
Almahata Sitta,48915,Valid,Ureilite-an,3950.0,Fell,2008.0,20.74575,32.41275,"(20.74575, 32.41275)",8.281723990411392,1,32.41275000000002,Sudan,Africa,2309.41689,5
Alta'ameem,2284,Valid,LL5,6000.0,Fell,1977.0,35.27333,44.21556,"(35.27333, 44.21556)",8.699681400989514,1,44.21556000000001,Iraq,Asia,3926.6270956,8
Ambapur Nagla,2290,Valid,H5,6400.0,Fell,1895.0,27.66667,78.25,"(27.66667, 78.25)",8.764209507142004,1,78.25,India,Asia,3079.8537044,5
Andhara,2294,Valid,Stone-uncl,2700.0,Fell,1880.0,26.58333,85.56667,"(26.58333, 85.56667)",7.901377353792616,1,85.56666999999999,India,Asia,2959.2562956,5
Andover,2295,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,"(44.61667, -70.75)",8.071218539969863,1,-70.75,United States of America,North America,4966.727704399999,0
Andreevka,2296,Valid,L3,600.0,Fell,1969.0,48.7,37.5,"(48.7, 37.5)",6.398594934535208,1,37.5,Ukraine,Europe,5421.284,8
Andura,2298,Valid,H6,17900.0,Fell,1939.0,20.88333,76.86667,"(20.88333, 76.86667)",9.792611856190192,1,76.86667,India,Asia,2324.7322956,4
Angra dos Reis (stone),2302,Valid,Angrite,1500.0,Fell,1869.0,-22.96667,-44.31667,"(-22.96667, -44.31667)",7.313886831633462,1,-44.31666999999999,Brazil,South America,2556.6497044,7
Ankober,2304,Valid,H4,6500.0,Fell,1942.0,9.53333,39.71667,"(9.53333, 39.71667)",8.77971129020447,1,39.71666999999999,Ethiopia,Africa,1061.2502955999998,7
Anlong,2305,Valid,H5,2500.0,Fell,1971.0,25.15,105.18333,"(25.15, 105.18333)",7.824445930877619,1,105.18333,China,Asia,2799.698,5
Aomori,2313,Valid,L6,320.0,Fell,1984.0,40.81056,140.78556,"(40.81056, 140.78556)",5.771441123130016,1,140.78556000000003,Japan,Asia,4543.0315392,5
Appley Bridge,2318,Valid,LL6,15000.0,Fell,1914.0,53.58333,-2.71667,"(53.58333, -2.71667)",9.61587214452889,1,-2.716669999999993,United Kingdom,Europe,5964.8962956,2
Apt,2320,Valid,L6,3200.0,Fell,1803.0,43.86667,5.38333,"(43.86667, 5.38333)",8.071218539969863,1,5.383330000000001,France,Europe,4883.2377044,2
Arbol Solo,2325,Valid,H5,810.0,Fell,1954.0,-33.0,-66.0,"(-33.0, -66.0)",6.698268054115413,1,-66.0,Argentina,South America,3673.56,7
Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,"(38.5, -94.3)",8.531293315795018,1,-94.3,United States of America,North America,4285.82,0
Arroyo Aguiar,2340,Valid,H5,7450.0,Fell,1950.0,-31.41667,-60.66667,"(-31.41667, -60.66667)",8.916103530553727,1,-60.66667000000001,Argentina,South America,3497.3037044,7
Asco,2345,Valid,H6,41.0,Fell,1805.0,42.45,9.03333,"(42.45, 9.03333)",3.737669618283368,1,9.033330000000008,France,Europe,4725.534,1
Ash Creek,48954,Valid,L6,9500.0,Fell,2009.0,31.805,-97.01,"(31.805, -97.01)",9.15915233520675,1,-97.01,United States of America,North America,3540.5325999999995,0
Ashdon,2346,Valid,L6,1300.0,Fell,1923.0,52.05,0.3,"(52.05, 0.3)",7.170888478512505,1,0.3000000000000113,United Kingdom,Europe,5794.205999999999,8
Assisi,2353,Valid,H5,2000.0,Fell,1886.0,43.03333,12.55,"(43.03333, 12.55)",7.601402334583733,1,12.550000000000011,Italy,Europe,4790.470295599999,2
Atarra,4883,Valid,L4,1280.0,Fell,1920.0,25.25417,80.625,"(25.25417, 80.625)",7.155396301896734,1,80.625,India,Asia,2811.2942044,5
Atemajac,4884,Valid,L6,94.2,Fell,1896.0,20.06667,-103.66667,"(20.06667, -103.66667)",4.55597994179732,1,-103.66667,Mexico,North America,2233.8217044,3
Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,"(34.75, -87.0)",5.583496308781699,1,-87.0,United States of America,North America,3868.37,3
Atoka,4888,Valid,L6,1384.2,Fell,1945.0,34.31667,-96.15,"(34.31667, -96.15)",7.233599812528267,1,-96.15,United States of America,North America,3820.1317044,3
Aubres,4893,Valid,Aubrite,800.0,Fell,1836.0,44.38333,5.16667,"(44.38333, 5.16667)",6.68586094706836,1,5.1666700000000105,France,Europe,4940.752295599999,2
Aumale,4899,Valid,L6,50000.0,Fell,1865.0,36.16667,3.66667,"(36.16667, 3.66667)",10.819798284210286,1,3.6666700000000105,Algeria,Africa,4026.0737044,2
Aumieres,4900,Valid,L6,2000.0,Fell,1842.0,44.33333,3.23333,"(44.33333, 3.23333)",7.601402334583733,1,3.233329999999995,France,Europe,4935.1862956,2
Ausson,4903,Valid,L5,50000.0,Fell,1858.0,43.08333,0.58333,"(43.08333, 0.58333)",10.819798284210286,1,0.5833299999999895,France,Europe,4796.036295599999,2
Avanhandava,4905,Valid,H4,9330.0,Fell,1952.0,-21.46028,-49.95083,"(-21.46028, -49.95083)",9.141097469234024,1,-49.95083,Brazil,South America,2388.9583696,7
Avce,4906,Valid,"Iron, IIAB",1230.0,Fell,1908.0,46.0,13.5,"(46.0, 13.5)",7.115582126184454,1,13.5,Italy,Europe,5120.719999999999,8
Avilez,4907,Valid,H,146.0,Fell,1855.0,25.0,-103.5,"(25.0, -103.5)",4.990432586778736,1,-103.5,Mexico,North America,2783.0,3
Awere,4910,Valid,L4,134.0,Fell,1968.0,2.71667,32.83333,"(2.71667, 32.83333)",4.90527477843843,1,32.83332999999999,Uganda,Africa,302.4197044,1
Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,"(36.8, -108.0)",7.9483852851118995,1,-108.0,United States of America,North America,4096.575999999999,0
Bachmut,4917,Valid,L6,18000.0,Fell,1814.0,48.6,38.0,"(48.6, 38.0)",9.798182590890704,1,38.0,Ukraine,Europe,5410.152,2
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,Fell,1934.0,28.48333,78.5,"(28.48333, 78.5)",9.24212969446559,1,78.5,India,Asia,3170.7642955999995,5
Bald Mountain,4925,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333,"(35.96667, -82.48333)",8.216358332386156,1,-82.48333,United States of America,North America,4003.8097044,0
Baldwyn,4926,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,"(34.5, -88.66667)",5.846438775057724,1,-88.66667,United States of America,North America,3840.54,3
Bali,4928,Valid,CV3,1000.0,Fell,1907.0,5.38333,16.38333,"(5.38333, 16.38333)",6.90875477931522,1,16.38333,Central African Republic,Africa,599.2722956,7
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700.0,Fell,1993.0,16.66667,101.18333,"(16.66667, 101.18333)",9.723223876851618,1,101.18333,Thailand,Asia,1855.3337044,5
Bandong,4935,Valid,LL6,11500.0,Fell,1871.0,-6.91667,107.6,"(-6.91667, 107.6)",9.35018926709258,1,107.60000000000002,Indonesia,Asia,769.9637044,7
Bansur,4936,Valid,L6,15000.0,Fell,1892.0,27.7,76.33333,"(27.7, 76.33333)",9.61587214452889,1,76.33332999999999,India,Asia,3083.564,5
Banswal,4937,Valid,L5,14.0,Fell,1913.0,30.4,78.2,"(30.4, 78.2)",2.70805020110221,1,78.19999999999999,India,Asia,3384.128,1
Banten,4938,Valid,CM2,629.0,Fell,1933.0,-6.33333,106.0,"(-6.33333, 106.0)",6.4457198193855785,1,106.0,Indonesia,Asia,705.0262956,7
Barbotan,4942,Valid,H5,6400.0,Fell,1790.0,43.95,-0.05,"(43.95, -0.05)",8.764209507142004,1,-0.0500000000000113,France,Europe,4892.514,2
Barea,4946,Valid,Mesosiderite-A1,3200.0,Fell,1842.0,42.38333,-2.5,"(42.38333, -2.5)",8.071218539969863,1,-2.5,Spain,Europe,4718.1122956,2
Barnaul,4947,Valid,H5,23.2,Fell,1904.0,52.73333,84.08333,"(52.73333, 84.08333)",3.186352633162641,1,84.08332999999999,Russia,Europe,5870.2742956,1
Barntrup,4948,Valid,LL4,17.0,Fell,1886.0,52.0,9.1,"(52.0, 9.1)",2.8903717578961645,1,9.099999999999994,Germany,Europe,5788.639999999999,1
Baroti,4949,Valid,L6,4500.0,Fell,1910.0,31.61667,76.8,"(31.61667, 76.8)",8.412054873292933,1,76.80000000000001,India,Asia,3519.5677044,5
Barwell,4954,Valid,L5,44000.0,Fell,1965.0,52.56528,-1.33972,"(52.56528, -1.33972)",10.691967639914864,1,-1.3397199999999998,United Kingdom,Europe,5851.5669696,4
Bassikounou,44876,Valid,H5,29560.0,Fell,2006.0,15.78333,-5.9,"(15.78333, -5.9)",10.294211203989256,1,-5.900000000000006,Mauritania,Africa,1757.0002955999998,4
Baszkówka,4957,Valid,L5,15500.0,Fell,1994.0,52.03333,20.93583,"(52.03333, 20.93583)",9.648659816955297,1,20.93583000000001,Poland,Europe,5792.350295599999,8
Bath,4974,Valid,H4,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.41667, -98.31667)",9.952325334619427,1,-98.31667,United States of America,North America,5055.7837044,0
Bath Furnace,4975,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,"(38.25, -83.75)",11.362114203075018,1,-83.75,United States of America,North America,4257.99,0
Battle Mountain,56133,Valid,L6,2900.0,Fell,2012.0,40.66813,-117.18913,"(40.66813, -117.18913)",7.972810784121404,1,-117.18913,United States of America,North America,4527.1762316,0
Bawku,4976,Valid,LL5,1557.0,Fell,1989.0,11.08333,-0.18333,"(11.08333, -0.18333)",7.351158226430694,1,-0.1833300000000122,Burkina Faso,Africa,1233.7962956,7
Baxter,4977,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,"(36.75, -93.5)",6.416732282512326,1,-93.5,United States of America,North America,4091.01,3
Beardsley,4984,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,"(39.8, -101.2)",9.680406499268877,1,-101.2,United States of America,North America,4430.535999999999,0
