name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,log_mass,fall_binary,reclong_norm,country,continent,dist_equator_km,cluster
Aachen,1,Valid,L5,21.0,Fell,1880.0,50.775,6.08333,"(50.775, 6.08333)",3.091042453358316,1,6.0833299999999895,Belgium,Europe,5652.272999999999,0
Achiras,370,Valid,L6,780.0,Fell,1902.0,-33.16667,-64.95,"(-33.16667, -64.95)",6.660575149839686,1,-64.95,Argentina,South America,3692.1137044,1
Adhi Kot,379,Valid,EH4,4239.0,Fell,1919.0,32.1,71.8,"(32.1, 71.8)",8.352318548226004,1,71.80000000000001,Pakistan,Asia,3573.372,0
Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,Fell,1949.0,44.83333,95.16667,"(44.83333, 95.16667)",6.814542897259958,1,95.16667,Mongolia,Asia,4990.846295599999,0
Agen,392,Valid,H5,30000.0,Fell,1814.0,44.21667,0.61667,"(44.21667, 0.61667)",10.308985993422082,1,0.6166699999999992,France,Europe,4922.1997044,0
Aguada,398,Valid,L6,1620.0,Fell,1930.0,-31.6,-65.23333,"(-31.6, -65.23333)",7.390798521735676,1,-65.23333,Argentina,South America,3517.712,1
Aguila Blanca,417,Valid,L,1440.0,Fell,1920.0,-30.86667,-64.55,"(-30.86667, -64.55)",7.273092595999522,1,-64.55,Argentina,South America,3436.0777044,1
Aïr,424,Valid,L6,24000.0,Fell,1925.0,19.08333,8.38333,"(19.08333, 8.38333)",10.085850775128716,1,8.38333,Niger,Africa,2124.3562956,2
Akaba,426,Valid,L6,779.0,Fell,1949.0,29.51667,35.05,"(29.51667, 35.05)",6.659293919683638,1,35.05000000000001,Jordan,Asia,3285.7957044,0
Akbarpur,427,Valid,H4,1800.0,Fell,1838.0,29.71667,77.95,"(29.71667, 77.95)",7.496097345175956,1,77.94999999999999,India,Asia,3308.0597044,0
Alais,448,Valid,CI1,6000.0,Fell,1806.0,44.11667,4.08333,"(44.11667, 4.08333)",8.699681400989514,1,4.0833299999999895,France,Europe,4911.0677044,0
Albareto,453,Valid,L/LL4,2000.0,Fell,1766.0,44.65,11.01667,"(44.65, 11.01667)",7.601402334583733,1,11.016670000000005,Italy,Europe,4970.437999999999,0
Alberta,454,Valid,L,625.0,Fell,1949.0,2.0,22.66667,"(2.0, 22.66667)",6.439350371100098,1,22.66667000000001,Democratic Republic of the Congo,Africa,222.64,1
Aldsworth,461,Valid,LL5,700.0,Fell,1835.0,51.78333,-1.78333,"(51.78333, -1.78333)",6.55250788703459,1,-1.7833300000000063,United Kingdom,Europe,5764.520295599999,0
Aleppo,462,Valid,L6,3200.0,Fell,1873.0,36.23333,37.13333,"(36.23333, 37.13333)",8.071218539969863,1,37.13333,Syria,Asia,4033.4942956,0
Alessandria,463,Valid,H5,908.0,Fell,1860.0,44.88333,8.75,"(44.88333, 8.75)",6.812345094177479,1,8.75,Italy,Europe,4996.4122956,0
Alexandrovsky,465,Valid,H4,9251.0,Fell,1900.0,50.95,31.81667,"(50.95, 31.81667)",9.13259502335133,1,31.816669999999988,Ukraine,Europe,5671.754,0
Alfianello,466,Valid,L6,228000.0,Fell,1883.0,45.26667,10.15,"(45.26667, 10.15)",12.337105293891872,1,10.150000000000006,Italy,Europe,5039.0857044,0
Allegan,2276,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.53333, -85.88333)",10.373522431293592,1,-85.88333,United States of America,North America,4734.810295599999,2
Ambapur Nagla,2290,Valid,H5,6400.0,Fell,1895.0,27.66667,78.25,"(27.66667, 78.25)",8.764209507142004,1,78.25,India,Asia,3079.8537044,0
Andhara,2294,Valid,Stone-uncl,2700.0,Fell,1880.0,26.58333,85.56667,"(26.58333, 85.56667)",7.901377353792616,1,85.56666999999999,India,Asia,2959.2562956,0
Andover,2295,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,"(44.61667, -70.75)",8.071218539969863,1,-70.75,United States of America,North America,4966.727704399999,2
Andura,2298,Valid,H6,17900.0,Fell,1939.0,20.88333,76.86667,"(20.88333, 76.86667)",9.792611856190192,1,76.86667,India,Asia,2324.7322956,0
Angra dos Reis (stone),2302,Valid,Angrite,1500.0,Fell,1869.0,-22.96667,-44.31667,"(-22.96667, -44.31667)",7.313886831633462,1,-44.31666999999999,Brazil,South America,2556.6497044,1
Ankober,2304,Valid,H4,6500.0,Fell,1942.0,9.53333,39.71667,"(9.53333, 39.71667)",8.77971129020447,1,39.71666999999999,Ethiopia,Africa,1061.2502955999998,1
Appley Bridge,2318,Valid,LL6,15000.0,Fell,1914.0,53.58333,-2.71667,"(53.58333, -2.71667)",9.61587214452889,1,-2.716669999999993,United Kingdom,Europe,5964.8962956,0
Apt,2320,Valid,L6,3200.0,Fell,1803.0,43.86667,5.38333,"(43.86667, 5.38333)",8.071218539969863,1,5.383330000000001,France,Europe,4883.2377044,0
Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,"(38.5, -94.3)",8.531293315795018,1,-94.3,United States of America,North America,4285.82,2
Asco,2345,Valid,H6,41.0,Fell,1805.0,42.45,9.03333,"(42.45, 9.03333)",3.737669618283368,1,9.033330000000008,France,Europe,4725.534,0
Ashdon,2346,Valid,L6,1300.0,Fell,1923.0,52.05,0.3,"(52.05, 0.3)",7.170888478512505,1,0.3000000000000113,United Kingdom,Europe,5794.205999999999,0
Assisi,2353,Valid,H5,2000.0,Fell,1886.0,43.03333,12.55,"(43.03333, 12.55)",7.601402334583733,1,12.550000000000011,Italy,Europe,4790.470295599999,0
Atarra,4883,Valid,L4,1280.0,Fell,1920.0,25.25417,80.625,"(25.25417, 80.625)",7.155396301896734,1,80.625,India,Asia,2811.2942044,0
Atemajac,4884,Valid,L6,94.2,Fell,1896.0,20.06667,-103.66667,"(20.06667, -103.66667)",4.55597994179732,1,-103.66667,Mexico,North America,2233.8217044,2
Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,"(34.75, -87.0)",5.583496308781699,1,-87.0,United States of America,North America,3868.37,2
Atoka,4888,Valid,L6,1384.2,Fell,1945.0,34.31667,-96.15,"(34.31667, -96.15)",7.233599812528267,1,-96.15,United States of America,North America,3820.1317044,2
Aubres,4893,Valid,Aubrite,800.0,Fell,1836.0,44.38333,5.16667,"(44.38333, 5.16667)",6.68586094706836,1,5.1666700000000105,France,Europe,4940.752295599999,0
Aumale,4899,Valid,L6,50000.0,Fell,1865.0,36.16667,3.66667,"(36.16667, 3.66667)",10.819798284210286,1,3.6666700000000105,Algeria,Africa,4026.0737044,0
Aumieres,4900,Valid,L6,2000.0,Fell,1842.0,44.33333,3.23333,"(44.33333, 3.23333)",7.601402334583733,1,3.233329999999995,France,Europe,4935.1862956,0
Ausson,4903,Valid,L5,50000.0,Fell,1858.0,43.08333,0.58333,"(43.08333, 0.58333)",10.819798284210286,1,0.5833299999999895,France,Europe,4796.036295599999,0
Avce,4906,Valid,"Iron, IIAB",1230.0,Fell,1908.0,46.0,13.5,"(46.0, 13.5)",7.115582126184454,1,13.5,Italy,Europe,5120.719999999999,0
Avilez,4907,Valid,H,146.0,Fell,1855.0,25.0,-103.5,"(25.0, -103.5)",4.990432586778736,1,-103.5,Mexico,North America,2783.0,2
Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,"(36.8, -108.0)",7.9483852851118995,1,-108.0,United States of America,North America,4096.575999999999,2
Bachmut,4917,Valid,L6,18000.0,Fell,1814.0,48.6,38.0,"(48.6, 38.0)",9.798182590890704,1,38.0,Ukraine,Europe,5410.152,0
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,Fell,1934.0,28.48333,78.5,"(28.48333, 78.5)",9.24212969446559,1,78.5,India,Asia,3170.7642955999995,0
Bald Mountain,4925,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333,"(35.96667, -82.48333)",8.216358332386156,1,-82.48333,United States of America,North America,4003.8097044,2
Baldwyn,4926,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,"(34.5, -88.66667)",5.846438775057724,1,-88.66667,United States of America,North America,3840.54,2
Bali,4928,Valid,CV3,1000.0,Fell,1907.0,5.38333,16.38333,"(5.38333, 16.38333)",6.90875477931522,1,16.38333,Central African Republic,Africa,599.2722956,1
Bandong,4935,Valid,LL6,11500.0,Fell,1871.0,-6.91667,107.6,"(-6.91667, 107.6)",9.35018926709258,1,107.60000000000002,Indonesia,Asia,769.9637044,1
Bansur,4936,Valid,L6,15000.0,Fell,1892.0,27.7,76.33333,"(27.7, 76.33333)",9.61587214452889,1,76.33332999999999,India,Asia,3083.564,0
Banswal,4937,Valid,L5,14.0,Fell,1913.0,30.4,78.2,"(30.4, 78.2)",2.70805020110221,1,78.19999999999999,India,Asia,3384.128,0
Banten,4938,Valid,CM2,629.0,Fell,1933.0,-6.33333,106.0,"(-6.33333, 106.0)",6.4457198193855785,1,106.0,Indonesia,Asia,705.0262956,1
Barbotan,4942,Valid,H5,6400.0,Fell,1790.0,43.95,-0.05,"(43.95, -0.05)",8.764209507142004,1,-0.0500000000000113,France,Europe,4892.514,0
Barea,4946,Valid,Mesosiderite-A1,3200.0,Fell,1842.0,42.38333,-2.5,"(42.38333, -2.5)",8.071218539969863,1,-2.5,Spain,Europe,4718.1122956,0
Barnaul,4947,Valid,H5,23.2,Fell,1904.0,52.73333,84.08333,"(52.73333, 84.08333)",3.186352633162641,1,84.08332999999999,Russia,Europe,5870.2742956,0
Barntrup,4948,Valid,LL4,17.0,Fell,1886.0,52.0,9.1,"(52.0, 9.1)",2.8903717578961645,1,9.099999999999994,Germany,Europe,5788.639999999999,0
Baroti,4949,Valid,L6,4500.0,Fell,1910.0,31.61667,76.8,"(31.61667, 76.8)",8.412054873292933,1,76.80000000000001,India,Asia,3519.5677044,0
Bath,4974,Valid,H4,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.41667, -98.31667)",9.952325334619427,1,-98.31667,United States of America,North America,5055.7837044,2
Bath Furnace,4975,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,"(38.25, -83.75)",11.362114203075018,1,-83.75,United States of America,North America,4257.99,2
Baxter,4977,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,"(36.75, -93.5)",6.416732282512326,1,-93.5,United States of America,North America,4091.01,2
Beardsley,4984,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,"(39.8, -101.2)",9.680406499268877,1,-101.2,United States of America,North America,4430.535999999999,2
Beaver Creek,4986,Valid,H5,14000.0,Fell,1893.0,51.16667,-117.33333,"(51.16667, -117.33333)",9.546884034617923,1,-117.33333,Canada,North America,5695.8737044,2
Beddgelert,4993,Valid,H5,794.0,Fell,1949.0,53.01667,-4.1,"(53.01667, -4.1)",6.678342114654332,1,-4.099999999999994,United Kingdom,Europe,5901.815704399999,0
Benares (a),5011,Valid,LL4,3700.0,Fell,1798.0,25.36667,82.91667,"(25.36667, 82.91667)",8.216358332386156,1,82.91667000000001,India,Asia,2823.8177044,0
Benld,5021,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,"(39.08333, -89.15)",7.479581924305527,1,-89.15,United States of America,North America,4350.756295599999,2
Benoni,5023,Valid,H6,3880.0,Fell,1943.0,-26.16667,28.41667,"(-26.16667, 28.41667)",8.263848131368906,1,28.41667000000001,South Africa,Africa,2912.8737044,1
Benton,5026,Valid,LL6,2840.0,Fell,1949.0,45.95,-67.55,"(45.95, -67.55)",7.951911381854188,1,-67.55,Canada,North America,5115.154,2
Béréba,5028,Valid,Eucrite-mmict,18000.0,Fell,1924.0,11.65,-3.65,"(11.65, -3.65)",9.798182590890704,1,-3.6500000000000057,Burkina Faso,Africa,1296.878,2
Berlanguillas,5029,Valid,L6,1440.0,Fell,1811.0,41.68333,-3.8,"(41.68333, -3.8)",7.273092595999522,1,-3.8000000000000114,Spain,Europe,4640.1882956,0
Bethlehem,5032,Valid,H,13.9,Fell,1859.0,42.53333,-73.83333,"(42.53333, -73.83333)",2.7013612129514133,1,-73.83333,United States of America,North America,4734.810295599999,0
Beuste,5034,Valid,L5,2000.0,Fell,1859.0,43.21667,-0.23333,"(43.21667, -0.23333)",7.601402334583733,1,-0.2333299999999951,France,Europe,4810.879704399999,0
Beyrout,5035,Valid,LL3.8,1100.0,Fell,1921.0,33.88333,35.5,"(33.88333, 35.5)",7.00397413672268,1,35.5,Lebanon,Asia,3771.8922956,0
Bhagur,5037,Valid,L6,18.0,Fell,1877.0,20.88333,74.83333,"(20.88333, 74.83333)",2.9444389791664403,1,74.83332999999999,India,Asia,2324.7322956,0
Bherai,5039,Valid,L6,100.0,Fell,1893.0,20.83333,71.46667,"(20.83333, 71.46667)",4.61512051684126,1,71.46667,Open Ocean,Open Ocean,2319.1662956,0
